candle_end_time,open,high,low,close,amount,info
2006-05-29,1378.480,1408.000,1370.640,1407.430,24074700.000,
2006-05-30,1417.140,1419.280,1398.970,1411.500,21423300.000,
2006-05-31,1410.370,1415.190,1385.590,1395.470,22587600.000,
2006-06-01,1393.580,1426.230,1390.020,1425.940,25975900.000,
2006-06-02,1427.200,1429.620,1399.590,1407.810,29852100.000,
2006-06-05,1406.830,1418.690,1378.410,1418.530,27768600.000,
2006-06-06,1416.030,1434.270,1407.170,1419.210,24766200.000,
2006-06-07,1419.400,1419.400,1346.090,1346.630,27647800.000,
2006-06-08,1337.940,1359.890,1317.880,1354.230,23383900.000,
2006-06-09,1350.560,1358.180,1324.190,1325.580,18497600.000,
2006-06-12,1314.610,1341.810,1307.100,1330.540,13297800.000,
2006-06-13,1328.450,1341.460,1315.010,1326.060,13703600.000,
2006-06-14,1319.610,1319.610,1297.420,1309.950,13000000.000,
2006-06-15,1309.730,1325.350,1306.570,1311.620,9997939.000,
2006-06-16,1316.400,1342.950,1316.400,1342.940,13205900.000,
2006-06-19,1331.030,1364.890,1319.290,1357.380,14086800.000,
2006-06-20,1355.930,1364.710,1347.530,1359.940,12808600.000,
2006-06-21,1358.900,1366.620,1338.770,1354.400,15218800.000,
2006-06-22,1353.470,1364.850,1349.190,1353.510,12559000.000,
2006-06-23,1350.570,1361.180,1341.540,1359.360,11782900.000,
2006-06-26,1361.700,1387.740,1361.700,1387.550,15478400.000,
2006-06-27,1389.380,1394.260,1378.960,1387.680,12999300.000,
2006-06-28,1385.080,1391.440,1377.350,1387.640,13309000.000,
2006-06-29,1389.510,1422.420,1389.510,1421.070,22046800.000,
2006-06-30,1428.190,1435.120,1409.200,1418.340,18885000.000,
2006-07-03,1423.630,1447.390,1420.230,1447.390,20004900.000,
2006-07-04,1449.980,1451.300,1421.640,1430.950,20039300.000,
2006-07-05,1429.770,1429.770,1395.600,1409.150,16000600.000,
2006-07-06,1407.010,1430.210,1405.580,1430.040,14162800.000,
2006-07-07,1432.750,1435.980,1413.870,1418.300,14421500.000,
2006-07-10,1418.280,1421.400,1405.900,1419.600,12216400.000,
2006-07-11,1421.100,1422.530,1410.850,1419.960,12187400.000,
2006-07-12,1419.940,1429.400,1416.440,1419.830,15156200.000,
2006-07-13,1417.240,1418.690,1352.050,1355.140,22401700.000,
2006-07-14,1344.160,1374.960,1337.120,1365.410,14868500.000,
2006-07-17,1362.090,1377.380,1355.350,1376.180,10259700.000,
2006-07-18,1375.830,1375.830,1363.560,1374.760,9741910.000,
2006-07-19,1371.490,1371.690,1334.460,1340.120,11139800.000,
2006-07-20,1338.660,1349.870,1333.040,1348.220,8104489.000,
2006-07-21,1348.130,1362.080,1347.640,1360.780,9049539.000,
2006-07-24,1345.060,1362.960,1334.640,1361.390,9336910.000,
2006-07-25,1362.730,1378.830,1362.730,1374.290,9763179.000,
2006-07-26,1377.070,1380.400,1368.840,1373.320,8478139.000,
2006-07-27,1372.840,1380.480,1351.840,1358.630,10604000.000,
2006-07-28,1358.310,1361.660,1332.730,1343.460,9562220.000,
2006-07-31,1341.240,1342.390,1301.370,1302.740,10571100.000,
2006-08-01,1300.770,1310.260,1289.140,1292.380,8116089.000,
2006-08-02,1292.450,1299.000,1272.360,1287.190,8668979.000,
2006-08-03,1289.030,1292.770,1275.870,1286.830,6374539.000,
2006-08-04,1287.610,1294.110,1262.240,1264.860,7615639.000,
2006-08-07,1256.750,1264.670,1245.420,1248.020,7541770.000,
2006-08-08,1248.410,1272.220,1248.410,1272.220,7272700.000,
2006-08-09,1273.960,1276.540,1265.440,1269.550,5931130.000,
2006-08-10,1269.420,1290.910,1269.260,1290.820,9682470.000,
2006-08-11,1291.760,1294.310,1283.210,1291.450,7263789.000,
