candle_end_time,open,high,low,close,amount,info
2014-10-17,6118.980,6140.120,5943.590,6058.670,97125862.000,
2014-10-20,6068.780,6154.690,6068.520,6154.520,79024982.000,
2014-10-21,6153.020,6176.070,6097.370,6103.010,79548408.000,
2014-10-22,6102.460,6131.890,6024.400,6027.510,73558799.000,
2014-10-23,6009.840,6032.610,5899.890,5930.480,74296958.000,
2014-10-24,5930.570,5980.340,5917.560,5941.930,59431259.000,
2014-10-27,5927.150,6007.160,5899.770,6006.840,61642426.000,
2014-10-28,6021.650,6163.670,6021.640,6163.670,84583163.000,
2014-10-29,6179.460,6269.960,6179.160,6246.700,111427173.000,
2014-10-30,6248.470,6284.700,6222.810,6241.590,103958948.000,
2014-10-31,6242.840,6261.710,6158.800,6208.610,92561304.000,
2014-11-03,6217.100,6276.230,6216.880,6275.990,91731125.000,
2014-11-04,6275.000,6280.830,6207.400,6231.820,89067834.000,
2014-11-05,6222.940,6241.070,6188.340,6227.250,78088754.000,
2014-11-06,6223.080,6289.830,6201.270,6289.190,76807817.000,
2014-11-07,6297.350,6319.080,6204.810,6228.170,91712220.000,
2014-11-10,6236.190,6247.720,6196.990,6246.610,77106878.000,
2014-11-11,6252.390,6253.220,5973.740,6023.000,101830341.000,
2014-11-12,6005.860,6120.250,5992.900,6120.060,66379154.000,
2014-11-13,6116.980,6117.100,5987.000,6023.780,83136020.000,
2014-11-14,6002.050,6024.370,5965.810,6009.450,61066376.000,
2014-11-17,6016.540,6118.010,5992.800,6100.830,64869968.000,
2014-11-18,6095.870,6139.760,6094.600,6139.520,63801908.000,
2014-11-19,6134.370,6206.810,6134.050,6193.560,71495027.000,
2014-11-20,6174.890,6189.440,6158.340,6185.920,65048454.000,
2014-11-21,6183.470,6240.780,6183.330,6240.770,71436627.000,
2014-11-24,6281.560,6304.450,6253.740,6293.020,96363989.000,
2014-11-25,6295.680,6392.800,6290.370,6392.440,101629030.000,
2014-11-26,6400.590,6435.330,6381.890,6435.140,108408198.000,
2014-11-27,6450.510,6472.790,6420.730,6472.590,113636694.000,
2014-11-28,6476.570,6499.200,6419.200,6478.110,118216945.000,
2014-12-01,6478.000,6478.000,6360.930,6392.460,106276380.000,
2014-12-02,6385.950,6466.690,6382.650,6457.560,97590434.000,
2014-12-03,6465.460,6514.310,6393.730,6513.960,131922968.000,
2014-12-04,6517.680,6608.230,6515.230,6605.320,135021971.000,
2014-12-05,6612.190,6612.190,6294.190,6462.090,149610293.000,
2014-12-08,6445.510,6494.320,6390.900,6457.510,129043526.000,
2014-12-09,6435.570,6435.670,6153.780,6161.370,158101979.000,
2014-12-10,6137.270,6367.070,6111.760,6366.810,102951530.000,
2014-12-11,6361.340,6463.720,6335.850,6463.320,111619808.000,
2014-12-12,6469.270,6549.420,6455.970,6545.190,104460717.000,
2014-12-15,6528.870,6664.250,6510.360,6658.150,114471533.000,
2014-12-16,6663.470,6678.410,6590.840,6635.250,106863793.000,
2014-12-17,6613.970,6613.970,6494.310,6551.120,110482238.000,
2014-12-18,6538.880,6581.060,6529.340,6540.880,88667391.000,
2014-12-19,6524.550,6524.760,6346.300,6438.040,100389366.000,
2014-12-22,6406.510,6406.550,6097.910,6120.580,116794188.000,
2014-12-23,6087.270,6153.650,6012.570,6023.370,74189417.000,
2014-12-24,6045.090,6155.290,6045.090,6154.880,68493930.000,
2014-12-25,6166.470,6222.650,6159.040,6222.510,68349427.000,
2014-12-26,6218.910,6233.960,6196.220,6233.940,78209171.000,
2014-12-29,6222.940,6222.940,6068.540,6098.980,91938614.000,
2014-12-30,6083.960,6088.870,5967.820,5982.640,79477247.000,
2014-12-31,5981.120,6027.520,5945.720,6027.520,70597816.000,
2015-01-05,6025.750,6052.440,5948.270,6049.790,94805191.000,
2015-01-06,6021.450,6172.640,5986.400,6172.390,93992033.000,
2015-01-07,6161.480,6171.150,6118.140,6166.770,80620124.000,
2015-01-08,6161.550,6211.460,6126.970,6164.110,81315646.000,
2015-01-09,6148.110,6214.290,6128.010,6128.010,73267839.000,
2015-01-12,6098.810,6102.440,6033.710,6062.280,66088789.000,
2015-01-13,6059.380,6167.350,6058.600,6167.120,60714313.000,
2015-01-14,6167.750,6170.910,6114.240,6139.290,58690608.000,
2015-01-15,6136.560,6177.050,6136.100,6168.660,54697305.000,
2015-01-16,6172.960,6252.140,6169.050,6252.080,68559022.000,
2015-01-19,6133.540,6296.610,6033.880,6109.290,93416976.000,
2015-01-20,6135.610,6336.710,6135.610,6336.630,86835549.000,
2015-01-21,6358.020,6465.830,6357.680,6465.730,103809604.000,
2015-01-22,6472.170,6569.900,6466.650,6568.640,103663936.000,
2015-01-23,6576.980,6577.380,6481.210,6502.070,104475111.000,
2015-01-26,6508.730,6642.720,6508.090,6642.610,98178613.000,
2015-01-27,6652.210,6694.820,6582.440,6693.810,109774966.000,
2015-01-28,6680.080,6725.670,6649.190,6666.260,93994268.000,
2015-01-29,6620.230,6661.730,6594.440,6625.000,76681462.000,
2015-01-30,6629.280,6655.600,6546.140,6546.600,82176298.000,
2015-02-02,6485.150,6567.400,6449.570,6535.900,68269625.000,
2015-02-03,6547.750,6661.890,6547.620,6654.550,76220862.000,
