candle_end_time,open,high,low,close,amount,info
2007-01-15,2084.350,2197.270,2084.350,2197.140,105156000.000,
2007-01-16,2218.700,2264.090,2205.810,2263.730,124439000.000,
2007-01-17,2270.910,2302.660,2183.060,2225.500,147848000.000,
2007-01-18,2210.600,2250.000,2166.390,2244.060,129598000.000,
2007-01-19,2249.910,2321.360,2249.910,2321.360,141259000.000,
2007-01-22,2348.660,2417.300,2348.660,2417.010,157482000.000,
2007-01-23,2431.740,2437.310,2339.580,2430.220,163418000.000,
2007-01-24,2430.250,2472.550,2410.730,2456.740,135475000.000,
2007-01-25,2435.860,2443.670,2364.440,2367.270,129231000.000,
2007-01-26,2332.140,2425.710,2268.020,2415.020,123413000.000,
2007-01-29,2431.500,2482.300,2426.160,2481.140,131099000.000,
2007-01-30,2490.990,2502.030,2441.690,2461.320,128459000.000,
2007-01-31,2454.520,2459.110,2292.920,2309.140,129956000.000,
2007-02-01,2277.570,2336.070,2238.000,2322.050,107417000.000,
2007-02-02,2324.600,2331.840,2236.180,2240.110,97987800.000,
2007-02-05,2227.580,2254.460,2201.990,2226.790,77721600.000,
2007-02-06,2228.020,2271.650,2171.470,2271.170,97886800.000,
2007-02-07,2284.720,2335.110,2284.720,2321.070,108433000.000,
2007-02-08,2327.940,2366.430,2308.840,2361.530,101710000.000,
2007-02-09,2364.090,2369.550,2332.160,2353.790,92677400.000,
2007-02-12,2355.300,2432.940,2354.800,2432.790,91180700.000,
2007-02-13,2445.070,2473.380,2437.490,2471.230,89692600.000,
2007-02-14,2475.570,2540.140,2468.930,2533.050,106843000.000,
2007-02-15,2551.260,2612.260,2551.260,2611.840,123148000.000,
2007-02-16,2633.820,2665.300,2607.560,2625.090,129966000.000,
2007-02-26,2630.920,2673.860,2596.390,2673.160,123495000.000,
2007-02-27,2683.780,2687.340,2425.650,2428.060,180141000.000,
2007-02-28,2386.630,2528.430,2386.630,2519.740,135848000.000,
2007-03-01,2527.120,2527.170,2417.800,2453.430,140988000.000,
2007-03-02,2449.490,2504.420,2438.650,2490.610,105185000.000,
2007-03-05,2488.120,2526.220,2396.080,2467.990,118053000.000,
2007-03-06,2459.490,2518.440,2442.450,2502.270,85954800.000,
2007-03-07,2514.090,2571.650,2514.090,2569.820,96951700.000,
2007-03-08,2577.760,2612.300,2547.270,2611.760,98463600.000,
2007-03-09,2616.290,2627.430,2570.950,2600.460,118443000.000,
2007-03-12,2602.090,2618.920,2557.890,2618.580,113836000.000,
2007-03-13,2623.210,2647.110,2609.990,2644.150,119385000.000,
2007-03-14,2615.910,2636.170,2548.650,2607.610,125532000.000,
2007-03-15,2605.090,2656.640,2605.090,2656.460,114788000.000,
2007-03-16,2666.320,2675.140,2582.960,2613.280,130965000.000,
2007-03-19,2539.140,2678.060,2527.890,2664.510,121633000.000,
2007-03-20,2674.500,2690.370,2658.400,2689.090,104809000.000,
2007-03-21,2701.560,2723.480,2682.570,2723.280,112890000.000,
2007-03-22,2739.260,2761.280,2721.630,2730.320,139314000.000,
2007-03-23,2729.970,2746.560,2677.500,2743.100,126184000.000,
2007-03-26,2754.120,2801.380,2747.710,2801.230,132812000.000,
2007-03-27,2807.530,2833.200,2790.560,2828.610,137683000.000,
2007-03-28,2833.230,2849.380,2716.750,2830.080,179219000.000,
2007-03-29,2833.790,2843.360,2792.180,2792.340,162562000.000,
2007-03-30,2777.360,2814.610,2761.410,2798.940,98913100.000,
2007-04-02,2810.280,2866.620,2810.280,2866.620,106921000.000,
2007-04-03,2878.200,2907.120,2869.020,2907.060,123781000.000,
2007-04-04,2912.830,2944.440,2895.520,2933.760,128633000.000,
2007-04-05,2931.500,2977.060,2917.840,2971.980,126941000.000,
2007-04-06,2949.090,3009.920,2938.200,3004.380,135354000.000,
2007-04-09,3021.130,3072.410,3021.130,3067.960,153045000.000,
2007-04-10,3082.600,3105.610,3012.500,3105.600,164445000.000,
2007-04-11,3114.950,3147.370,3081.820,3147.180,169394000.000,
2007-04-12,3154.690,3207.590,3141.020,3207.500,157243000.000,
2007-04-13,3213.850,3241.490,3179.810,3195.010,168188000.000,
2007-04-16,3202.050,3284.660,3202.050,3284.330,148326000.000,
2007-04-17,3303.340,3332.400,3220.550,3329.670,183251000.000,
2007-04-18,3341.170,3373.580,3298.420,3367.840,173041000.000,
2007-04-19,3361.260,3361.260,3116.960,3200.010,193284000.000,
2007-04-20,3216.650,3356.170,3216.650,3347.790,156721000.000,
2007-04-23,3391.890,3497.280,3391.890,3495.230,183679000.000,
2007-04-24,3526.230,3559.080,3478.440,3515.200,196457000.000,
2007-04-25,3500.750,3531.240,3436.990,3513.500,164970000.000,
2007-04-26,3528.520,3559.520,3502.620,3559.230,134431000.000,
2007-04-27,3565.900,3571.170,3503.690,3540.140,138996000.000,
2007-04-30,3549.260,3629.000,3537.690,3620.350,159874000.000,
2007-05-08,3705.390,3769.820,3682.520,3761.520,179913000.000,
2007-05-09,3775.480,3793.240,3622.770,3774.910,223701000.000,
2007-05-10,3777.680,3817.060,3743.960,3799.390,183934000.000,
2007-05-11,3771.790,3791.680,3706.590,3778.420,149205000.000,
2007-05-14,3723.630,3841.710,3694.100,3808.250,149849000.000,
2007-05-15,3813.300,3827.580,3672.540,3677.980,157580000.000,
2007-05-16,3668.880,3779.080,3625.640,3778.790,141789000.000,
2007-05-17,3797.750,3877.610,3786.760,3862.790,152965000.000,
2007-05-18,3856.720,3891.280,3830.430,3864.510,141629000.000,
2007-05-21,3734.740,3944.970,3725.910,3936.930,170100000.000,
2007-05-22,3959.540,4012.170,3959.540,3989.420,190269000.000,
2007-05-23,4002.730,4070.890,3977.860,4070.520,172813000.000,
2007-05-24,4087.530,4106.260,3983.810,4053.530,196950000.000,
2007-05-25,4041.520,4134.210,4018.920,4121.690,166625000.000,
2007-05-28,4172.280,4234.450,4165.760,4214.410,195198000.000,
2007-05-29,4233.200,4308.900,4212.590,4308.660,188901000.000,
2007-05-30,4022.740,4235.360,3966.870,4000.710,213369000.000,
2007-05-31,3926.930,4059.090,3761.310,3986.660,200524000.000,
2007-06-01,4003.920,4059.130,3797.650,3819.290,185981000.000,
2007-06-04,3805.940,3825.000,3510.140,3516.650,135697000.000,
2007-06-05,3392.730,3619.890,3244.980,3619.450,184181000.000,
2007-06-06,3637.240,3708.530,3533.620,3670.320,163087000.000,
2007-06-07,3686.650,3812.340,3676.140,3812.340,158965000.000,
2007-06-08,3829.340,3880.610,3789.440,3855.030,153646000.000,
2007-06-11,3896.870,3955.390,3892.890,3950.320,152712000.000,
2007-06-12,3975.100,4056.390,3838.530,4056.270,172960000.000,
2007-06-13,4093.990,4182.600,4086.110,4155.250,187166000.000,
2007-06-14,4142.560,4171.830,4054.120,4108.700,155570000.000,
2007-06-15,4072.210,4147.630,4051.750,4127.550,120864000.000,
2007-06-18,4207.540,4271.430,4207.540,4253.650,145759000.000,
2007-06-19,4255.480,4294.790,4211.910,4294.440,143385000.000,
2007-06-20,4308.780,4338.340,4170.190,4190.590,154144000.000,
2007-06-21,4172.120,4240.850,4129.140,4215.280,125742000.000,
2007-06-22,4220.150,4231.540,3966.490,4044.920,135242000.000,
2007-06-25,4060.110,4100.670,3822.100,3848.690,117683000.000,
2007-06-26,3766.420,3906.490,3710.700,3905.300,102512000.000,
2007-06-27,3923.140,4024.330,3880.970,4012.450,107303000.000,
2007-06-28,4009.630,4033.860,3811.230,3811.870,106827000.000,
2007-06-29,3715.440,3808.770,3650.990,3699.330,97708700.000,
2007-07-02,3682.510,3744.010,3585.800,3708.310,83252200.000,
2007-07-03,3734.550,3782.380,3684.760,3779.000,76984900.000,
2007-07-04,3786.840,3793.770,3676.450,3692.410,65073500.000,
2007-07-05,3636.310,3651.750,3477.000,3479.050,72639600.000,
2007-07-06,3459.040,3662.330,3415.290,3659.820,89321100.000,
2007-07-09,3693.900,3793.320,3671.930,3772.340,95592900.000,
2007-07-10,3779.440,3788.690,3701.220,3712.920,86644800.000,
2007-07-11,3688.900,3740.000,3670.200,3734.780,58435300.000,
2007-07-12,3743.280,3780.070,3723.070,3759.510,54966700.000,
2007-07-13,3765.740,3769.010,3709.520,3758.340,47056800.000,
2007-07-16,3761.750,3767.400,3636.220,3636.550,50777800.000,
2007-07-17,3622.020,3748.960,3591.040,3724.530,54008300.000,
2007-07-18,3712.750,3793.870,3692.870,3741.420,70935700.000,
2007-07-19,3731.360,3769.830,3712.130,3744.730,49097200.000,
2007-07-20,3746.030,3905.330,3746.030,3904.750,90504000.000,
2007-07-23,3938.890,4091.120,3938.890,4091.110,135710000.000,
2007-07-24,4120.910,4181.860,4079.450,4096.560,127180000.000,
2007-07-25,4097.690,4195.090,4097.630,4194.730,105655000.000,
2007-07-26,4222.020,4272.880,4185.410,4250.720,113111000.000,
2007-07-27,4226.810,4278.310,4172.940,4272.310,113212000.000,
2007-07-30,4273.000,4389.780,4271.800,4370.170,128451000.000,
2007-07-31,4363.450,4425.130,4314.800,4420.190,122088000.000,
2007-08-01,4438.980,4454.650,4220.810,4234.140,138761000.000,
2007-08-02,4254.950,4394.230,4247.000,4386.000,109313000.000,
2007-08-03,4423.290,4526.400,4423.290,4525.850,132087000.000,
2007-08-06,4568.520,4628.710,4547.870,4628.630,130914000.000,
2007-08-07,4638.640,4680.710,4553.140,4636.210,134946000.000,
2007-08-08,4593.680,4647.720,4485.130,4575.810,135094000.000,
2007-08-09,4573.980,4671.560,4573.850,4669.650,110833000.000,
2007-08-10,4661.220,4664.030,4512.230,4609.330,115642000.000,
2007-08-13,4606.500,4636.400,4539.900,4600.700,126266000.000,
2007-08-14,4600.930,4689.160,4587.010,4682.130,98166200.000,
2007-08-15,4692.030,4716.100,4576.480,4679.100,100467000.000,
2007-08-16,4655.320,4656.780,4566.010,4626.730,102963000.000,
2007-08-17,4601.820,4676.610,4534.250,4542.970,101658000.000,
2007-08-20,4655.980,4782.050,4653.020,4781.820,113389000.000,
2007-08-21,4811.200,4880.920,4804.730,4860.990,124032000.000,
2007-08-22,4791.840,4957.630,4777.300,4935.020,129497000.000,
2007-08-23,4958.640,5026.010,4911.740,5010.480,118067000.000,
2007-08-24,5033.980,5086.280,5022.680,5074.760,124651000.000,
2007-08-27,5113.740,5142.670,5040.190,5089.930,134873000.000,
2007-08-28,5068.490,5112.820,4987.100,5097.710,122843000.000,
2007-08-29,5065.870,5129.240,4991.390,5030.270,117837000.000,
2007-08-30,5051.590,5121.740,5039.320,5116.210,118818000.000,
2007-08-31,5133.340,5183.060,5108.510,5171.060,122368000.000,
2007-09-03,5210.480,5303.680,5210.480,5290.060,147489000.000,
2007-09-04,5297.150,5304.650,5213.060,5238.670,137689000.000,
2007-09-05,5237.700,5269.020,5147.750,5247.880,111132000.000,
2007-09-06,5273.740,5329.080,5253.660,5297.740,121638000.000,
2007-09-07,5268.900,5287.350,5171.280,5179.150,136623000.000,
2007-09-10,5113.830,5265.230,5070.450,5265.050,114320000.000,
2007-09-11,5271.170,5296.330,4981.670,4997.920,124591000.000,
2007-09-12,4975.530,5083.610,4919.130,5070.110,109517000.000,
2007-09-13,5095.480,5206.890,5076.570,5205.850,101118000.000,
2007-09-14,5219.900,5265.710,5136.940,5256.720,107197000.000,
2007-09-17,5248.510,5364.870,5245.640,5359.850,121915000.000,
2007-09-18,5383.800,5393.170,5281.440,5354.240,121397000.000,
