candle_end_time,open,high,low,close,amount,info
2006-01-24,942.430,957.680,941.730,950.270,8145050.000,
2006-01-25,950.430,961.500,949.530,961.500,6860270.000,
2006-02-06,960.870,989.470,960.870,988.890,8005910.000,
2006-02-07,990.590,995.900,976.090,985.380,10118700.000,
2006-02-08,983.290,983.720,971.700,981.600,6688189.000,
2006-02-09,980.840,980.840,966.630,969.000,6230339.000,
2006-02-10,968.560,981.340,968.440,980.960,6114210.000,
2006-02-13,981.450,981.450,969.670,979.770,6551850.000,
2006-02-14,981.160,991.400,978.930,991.150,5761319.000,
2006-02-15,991.670,1000.880,991.180,993.130,6038550.000,
2006-02-16,991.470,991.470,969.940,970.810,7115739.000,
2006-02-17,973.920,980.450,969.220,973.970,6225389.000,
2006-02-20,975.470,985.040,974.340,976.210,6575929.000,
2006-02-21,975.240,992.980,967.800,992.740,7194360.000,
2006-02-22,992.960,1000.530,989.710,993.390,6884429.000,
2006-02-23,994.100,995.210,982.670,992.860,6008960.000,
2006-02-24,992.940,1001.710,992.940,1001.420,5547930.000,
2006-02-27,1004.590,1005.790,990.840,993.210,5329610.000,
2006-02-28,991.620,997.650,979.270,996.890,4513200.000,
2006-03-01,992.760,999.750,990.970,997.890,5208730.000,
2006-03-02,1001.690,1001.690,983.290,987.160,7504710.000,
2006-03-03,986.950,992.110,979.380,989.630,5725000.000,
2006-03-06,990.400,992.020,982.650,984.480,4580030.000,
2006-03-07,983.070,983.170,955.760,958.160,5567619.000,
2006-03-08,955.380,958.130,939.540,950.300,5011280.000,
2006-03-09,949.510,952.090,942.370,945.670,3457580.000,
2006-03-10,946.280,953.550,946.280,950.660,3739760.000,
2006-03-13,950.400,967.700,950.400,966.800,4093230.000,
2006-03-14,967.410,968.100,960.080,966.400,3268359.000,
2006-03-15,966.000,978.110,964.540,978.110,4204639.000,
2006-03-16,978.670,980.180,974.860,978.920,4446269.000,
2006-03-17,979.850,982.400,973.240,976.160,5070800.000,
2006-03-20,977.150,989.900,972.380,989.850,4324889.000,
2006-03-21,990.350,1002.140,988.740,994.820,6198810.000,
2006-03-22,995.740,1006.860,992.220,1006.520,6769100.000,
2006-03-23,1005.790,1009.540,1002.790,1007.770,6897679.000,
2006-03-24,1008.600,1012.670,1002.670,1004.080,6258110.000,
2006-03-27,1003.640,1018.440,999.380,1018.440,5295030.000,
2006-03-28,1020.230,1029.790,1019.880,1029.510,7886529.000,
2006-03-29,1030.210,1051.720,1028.940,1038.350,10294600.000,
2006-03-30,1038.100,1039.370,1027.780,1028.440,7858089.000,
2006-03-31,1025.280,1039.120,1022.050,1038.130,7655289.000,
2006-04-03,1039.060,1062.170,1039.060,1062.080,10179700.000,
2006-04-04,1064.430,1071.030,1055.520,1071.030,11197900.000,
2006-04-05,1077.090,1090.240,1074.840,1089.990,11231200.000,
2006-04-06,1095.120,1109.700,1089.280,1104.180,12808600.000,
2006-04-07,1103.680,1106.910,1088.660,1103.250,10775200.000,
2006-04-10,1103.590,1115.960,1094.960,1115.680,9893910.000,
2006-04-11,1119.450,1129.270,1109.990,1125.840,11841000.000,
2006-04-12,1126.540,1126.540,1112.020,1112.270,10872100.000,
2006-04-13,1113.050,1120.800,1088.020,1089.150,12317300.000,
2006-04-14,1086.950,1119.400,1086.650,1119.210,10101000.000,
2006-04-17,1117.690,1128.980,1110.890,1117.370,10258600.000,
2006-04-18,1119.220,1126.810,1108.120,1124.590,10556900.000,
2006-04-19,1125.250,1135.870,1117.410,1133.690,10704200.000,
2006-04-20,1136.080,1141.960,1125.570,1136.650,12934900.000,
