candle_end_time,open,high,low,close,amount,info
2004-04-01,1109.720,1124.250,1108.910,1123.440,4682710.000,
2004-04-02,1125.360,1133.440,1122.640,1127.810,5788950.000,
2004-04-05,1128.510,1129.810,1112.290,1118.270,6259750.000,
2004-04-06,1117.890,1124.020,1106.600,1123.860,5545980.000,
2004-04-07,1124.250,1125.630,1116.130,1117.440,4674500.000,
2004-04-08,1117.120,1118.470,1109.780,1112.840,5758739.000,
2004-04-09,1113.720,1119.150,1083.330,1088.160,6921970.000,
2004-04-12,1082.450,1087.480,1071.120,1080.080,5021169.000,
2004-04-13,1081.050,1087.320,1070.840,1072.730,4958850.000,
2004-04-14,1072.200,1074.630,1052.920,1065.680,4838039.000,
2004-04-15,1066.180,1072.240,1053.080,1055.890,3601200.000,
2004-04-16,1056.800,1071.550,1049.030,1071.230,4437639.000,
2004-04-19,1072.500,1073.400,1052.500,1054.740,4078680.000,
2004-04-20,1053.440,1059.420,1045.200,1052.240,3393889.000,
2004-04-21,1053.380,1061.650,1040.370,1043.530,4492800.000,
2004-04-22,1042.470,1055.210,1039.350,1050.760,4135650.000,
2004-04-23,1048.230,1048.270,1032.870,1034.410,3236350.000,
2004-04-26,1034.040,1041.590,1030.060,1039.000,2507980.000,
2004-04-27,1040.920,1045.240,1027.610,1031.220,3599319.000,
2004-04-28,1028.460,1034.910,1015.870,1029.810,3733430.000,
2004-04-29,1028.580,1037.750,1015.500,1016.510,4811469.000,
2004-04-30,1017.640,1029.620,1011.210,1025.950,4781900.000,
2004-05-10,1028.460,1031.020,993.640,996.160,2797280.000,
2004-05-11,994.050,1006.170,989.310,1003.900,2133180.000,
2004-05-12,1004.800,1025.410,1001.970,1025.020,3201940.000,
2004-05-13,1026.670,1026.820,1016.250,1021.000,2105180.000,
2004-05-14,1020.900,1021.310,994.950,997.950,2675900.000,
2004-05-17,993.140,999.450,980.670,981.740,2975700.000,
2004-05-18,978.300,989.500,966.060,989.210,5222880.000,
2004-05-19,989.870,1001.900,981.120,988.920,3852339.000,
2004-05-20,988.990,1000.270,981.280,985.930,2613290.000,
2004-05-21,985.930,995.180,985.140,994.450,2583700.000,
2004-05-24,995.080,997.720,989.210,991.850,2052459.000,
2004-05-25,991.770,992.000,977.220,978.590,2311800.000,
2004-05-26,976.520,986.940,972.410,985.000,1774619.000,
2004-05-27,984.580,1006.690,977.730,1003.290,4014930.000,
2004-05-28,1003.930,1005.880,994.410,995.640,2102530.000,
2004-05-31,995.830,1003.760,994.680,1001.190,1787669.000,
2004-06-01,1000.280,1014.210,999.330,1014.170,2904100.000,
2004-06-02,1014.310,1014.710,999.220,1001.690,2656619.000,
2004-06-03,1001.000,1001.140,985.100,986.450,2088330.000,
2004-06-04,985.550,992.030,981.610,986.220,2090800.000,
2004-06-07,984.040,984.080,967.640,973.220,2163269.000,
2004-06-08,971.030,974.650,952.840,954.770,3290360.000,
2004-06-09,952.190,956.680,938.960,941.300,3092359.000,
2004-06-10,939.500,951.350,936.640,944.250,2851580.000,
2004-06-11,947.500,961.570,941.540,942.860,2948909.000,
2004-06-14,941.040,941.040,919.530,924.590,2891000.000,
2004-06-15,922.930,948.280,919.960,942.680,3057259.000,
2004-06-16,943.360,959.000,933.480,947.160,3362610.000,
2004-06-17,946.560,948.360,924.790,926.040,2590709.000,
2004-06-18,922.340,922.340,899.270,910.190,3572030.000,
2004-06-21,904.950,913.910,899.220,909.050,2125600.000,
2004-06-22,908.860,924.620,905.940,918.800,2503209.000,
2004-06-23,918.430,918.430,905.410,912.850,2227280.000,
2004-06-24,911.360,918.320,905.000,906.420,2311609.000,
2004-06-25,904.470,912.880,890.220,891.790,2448650.000,
2004-06-28,887.160,892.580,880.530,883.760,2246050.000,
2004-06-29,885.060,901.390,877.320,901.050,3139659.000,
2004-06-30,900.340,907.370,894.190,897.710,2700640.000,
2004-07-01,896.380,927.620,896.010,925.000,4460069.000,
2004-07-02,924.080,931.420,917.040,926.620,3160890.000,
2004-07-05,925.370,928.750,919.000,928.670,3307350.000,
2004-07-06,928.760,944.290,928.390,931.880,4226019.000,
2004-07-07,930.680,930.740,921.240,923.860,2119080.000,
2004-07-08,922.630,927.370,917.470,927.030,2079330.000,
2004-07-09,927.220,936.920,922.280,923.200,2256250.000,
2004-07-12,919.790,919.790,901.520,904.550,2528340.000,
2004-07-13,902.270,909.930,898.080,906.970,2118869.000,
2004-07-14,907.520,914.710,897.230,912.190,3050080.000,
2004-07-15,912.920,926.250,909.650,925.680,4554939.000,
2004-07-16,927.400,948.850,926.430,946.180,8371489.000,
2004-07-19,946.340,954.160,938.690,947.420,4251250.000,
2004-07-20,945.730,946.010,934.720,939.220,3715869.000,
2004-07-21,937.450,943.110,932.280,940.510,2326509.000,
2004-07-22,940.380,941.760,910.210,913.140,4832680.000,
2004-07-23,910.210,915.990,901.760,915.040,4391589.000,
2004-07-26,910.310,914.240,899.640,903.750,2626180.000,
2004-07-27,902.900,909.440,896.240,903.320,2956940.000,
2004-07-28,904.290,914.040,891.720,906.050,3524550.000,
2004-07-29,905.670,918.860,905.540,918.790,4066010.000,
2004-07-30,919.940,920.520,905.630,906.270,3201300.000,
