candle_end_time,open,high,low,close,amount,info
2007-01-15,1881.470,1986.540,1881.470,1986.540,38812600.000,
2007-01-16,2002.570,2055.020,1990.870,2055.020,48074400.000,
2007-01-17,2064.290,2093.890,1992.540,2035.650,58832900.000,
2007-01-18,2025.850,2085.400,2002.660,2085.400,50949500.000,
2007-01-19,2097.500,2159.650,2097.500,2159.640,57925200.000,
2007-01-22,2183.440,2259.030,2183.440,2258.990,63589200.000,
2007-01-23,2267.450,2268.690,2175.600,2261.780,61080200.000,
2007-01-24,2260.710,2295.260,2236.570,2283.700,51041200.000,
2007-01-25,2271.520,2271.520,2172.980,2174.240,48175700.000,
2007-01-26,2143.990,2196.280,2061.660,2186.270,44759400.000,
2007-01-29,2201.590,2261.240,2201.590,2260.600,45646700.000,
2007-01-30,2271.470,2280.730,2230.650,2255.940,50247700.000,
2007-01-31,2251.320,2258.700,2129.790,2142.890,49046900.000,
2007-02-01,2120.010,2176.200,2080.160,2165.410,42338800.000,
2007-02-02,2170.030,2190.960,2124.300,2127.100,38610600.000,
2007-02-05,2122.370,2166.090,2118.870,2152.250,30134100.000,
2007-02-06,2158.500,2198.630,2148.100,2198.240,30876200.000,
2007-02-07,2209.650,2237.940,2208.380,2237.940,38327000.000,
2007-02-08,2245.080,2282.190,2233.520,2278.450,39053900.000,
2007-02-09,2282.630,2300.810,2263.610,2287.380,37161800.000,
2007-02-12,2291.660,2341.070,2291.660,2341.070,36188400.000,
2007-02-13,2351.650,2384.160,2338.560,2384.160,38163800.000,
2007-02-14,2386.830,2445.760,2380.740,2435.960,44065600.000,
2007-02-15,2451.440,2512.550,2451.320,2512.400,51516500.000,
2007-02-16,2528.840,2581.560,2519.230,2541.410,54056800.000,
2007-02-26,2557.250,2642.110,2532.100,2642.110,48963100.000,
2007-02-27,2654.440,2673.530,2402.720,2405.570,72404300.000,
2007-02-28,2370.950,2520.000,2369.050,2513.530,53025000.000,
2007-03-01,2526.150,2526.160,2417.840,2459.510,58828100.000,
2007-03-02,2458.260,2515.020,2452.970,2503.680,47238100.000,
2007-03-05,2508.390,2548.250,2419.290,2511.920,49536000.000,
2007-03-06,2501.290,2524.630,2467.680,2516.000,33321700.000,
2007-03-07,2525.530,2580.600,2525.470,2580.600,37230700.000,
2007-03-08,2587.750,2634.880,2562.500,2634.880,43077100.000,
2007-03-09,2637.600,2662.330,2590.440,2638.050,48031700.000,
2007-03-12,2639.890,2696.870,2610.400,2696.500,51367100.000,
2007-03-13,2701.500,2740.460,2694.380,2727.460,53596200.000,
2007-03-14,2704.450,2740.530,2622.750,2708.690,56580300.000,
2007-03-15,2703.930,2760.840,2703.570,2760.840,51009800.000,
2007-03-16,2769.150,2777.410,2671.960,2710.860,55633100.000,
2007-03-19,2623.740,2760.090,2609.310,2751.480,47649900.000,
2007-03-20,2761.010,2811.150,2759.000,2810.710,43559000.000,
2007-03-21,2821.440,2859.030,2801.930,2859.010,48276800.000,
2007-03-22,2869.750,2899.350,2852.670,2861.150,56005700.000,
2007-03-23,2862.630,2901.780,2820.990,2898.000,52272400.000,
2007-03-26,2915.050,2989.050,2915.050,2989.050,56736800.000,
2007-03-27,2995.460,3040.350,2979.130,3039.530,56957800.000,
2007-03-28,3048.500,3060.190,2873.380,3004.290,67009300.000,
2007-03-29,3005.060,3008.220,2894.740,2894.780,55994800.000,
2007-03-30,2878.240,2935.240,2859.730,2926.060,35962400.000,
2007-04-02,2935.210,2993.630,2932.640,2993.630,37673600.000,
2007-04-03,3004.900,3042.460,2993.190,3042.460,46767000.000,
2007-04-04,3049.920,3084.620,3032.490,3078.900,53126400.000,
2007-04-05,3076.760,3137.020,3063.420,3133.140,52801700.000,
2007-04-06,3110.950,3189.110,3097.060,3182.800,56252000.000,
2007-04-09,3201.150,3243.880,3201.150,3240.300,62143800.000,
2007-04-10,3253.670,3261.530,3151.490,3261.530,63556600.000,
2007-04-11,3267.610,3309.980,3231.310,3309.750,67723800.000,
2007-04-12,3316.200,3387.410,3302.360,3387.410,64707400.000,
2007-04-13,3393.960,3419.990,3341.270,3358.630,67535100.000,
2007-04-16,3362.730,3458.070,3362.730,3458.070,60396900.000,
2007-04-17,3482.360,3558.220,3420.310,3558.220,77944200.000,
2007-04-18,3572.700,3652.720,3548.360,3649.710,71614000.000,
2007-04-19,3642.850,3642.850,3356.020,3435.780,78014300.000,
2007-04-20,3456.740,3624.820,3456.740,3614.390,62251100.000,
2007-04-23,3667.550,3784.080,3667.550,3782.260,73720000.000,
2007-04-24,3813.530,3861.570,3753.130,3821.420,81814300.000,
2007-04-25,3802.690,3822.410,3712.040,3805.050,64389300.000,
2007-04-26,3814.920,3854.050,3788.870,3853.270,55433400.000,
2007-04-27,3861.050,3871.400,3801.550,3845.810,58297400.000,
2007-04-30,3831.550,3909.040,3809.970,3903.690,65571200.000,
2007-05-08,3990.710,4093.010,3972.030,4091.130,73124000.000,
2007-05-09,4107.550,4125.420,3918.750,4099.130,83052500.000,
2007-05-10,4103.570,4146.580,4062.480,4128.080,68513900.000,
2007-05-11,4101.650,4130.900,4028.360,4109.400,60242800.000,
2007-05-14,4051.840,4164.810,4014.560,4133.830,58751400.000,
2007-05-15,4140.330,4161.520,3989.360,3998.780,64001800.000,
2007-05-16,3981.820,4118.240,3929.510,4118.140,55559400.000,
2007-05-17,4146.320,4235.050,4135.370,4221.910,62708700.000,
2007-05-18,4219.610,4261.460,4188.320,4235.190,59209700.000,
2007-05-21,4089.850,4364.160,4076.520,4364.160,71621700.000,
2007-05-22,4402.920,4484.530,4402.760,4459.810,80650700.000,
2007-05-23,4486.020,4582.450,4463.270,4582.310,74290000.000,
2007-05-24,4606.150,4625.920,4460.930,4571.710,83135300.000,
2007-05-25,4559.430,4665.980,4525.290,4649.860,71208700.000,
2007-05-28,4707.690,4784.430,4700.620,4761.700,81156400.000,
2007-05-29,4782.410,4853.880,4730.480,4853.640,75634100.000,
2007-05-30,4486.510,4751.040,4430.690,4456.280,80630300.000,
2007-05-31,4329.810,4414.610,4095.400,4267.780,74445300.000,
2007-06-01,4260.770,4317.300,3945.400,3960.440,66043500.000,
2007-06-04,3901.790,3930.340,3615.110,3618.690,45166400.000,
2007-06-05,3430.550,3660.510,3317.870,3659.940,70413200.000,
2007-06-06,3676.690,3786.770,3563.230,3736.930,67135700.000,
2007-06-07,3751.670,3936.830,3736.160,3936.770,64774200.000,
2007-06-08,3970.280,4036.880,3931.380,4002.870,64571300.000,
2007-06-11,4057.170,4117.250,4056.820,4104.550,61730100.000,
2007-06-12,4138.330,4218.610,3945.680,4218.440,73569700.000,
2007-06-13,4263.620,4398.610,4254.630,4372.530,77713300.000,
2007-06-14,4365.980,4399.520,4249.210,4311.980,68961100.000,
2007-06-15,4262.750,4349.160,4232.300,4316.530,52084800.000,
2007-06-18,4400.400,4454.780,4400.400,4439.190,57885800.000,
2007-06-19,4446.690,4529.280,4394.230,4529.030,61844400.000,
2007-06-20,4539.580,4589.220,4371.000,4396.220,67281000.000,
2007-06-21,4372.350,4452.480,4277.040,4374.490,52002500.000,
2007-06-22,4376.380,4386.930,4050.670,4123.210,55689400.000,
2007-06-25,4139.280,4184.330,3824.890,3851.940,47652100.000,
2007-06-26,3739.190,3930.040,3667.820,3928.700,43627300.000,
2007-06-27,3944.360,4031.630,3877.080,4022.310,42012300.000,
2007-06-28,4017.180,4026.090,3756.600,3757.980,39969500.000,
2007-06-29,3636.310,3718.180,3527.320,3585.490,38787800.000,
